Detector Model,3776 Low Flow,Detector S/N,3776165002, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detector Sample Flow (L/min),0.05,Detector Inlet Flow (L/min),0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Gas Viscosity (Pa*s),1.83245E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Mean Free Path (m),6.73E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Gas Temperature (K),296.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Gas Pressure (kPa),101.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutherland Constant (K),110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Length (cm),30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Diameter (cm),0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels/Decade,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple Charge Correction,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanoparticle Agglomerate Mobility Analysis,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diffusion Correction,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units,dw/dlogDp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm),13.6,14.1,14.6,15.1,15.7,16.3,16.8,17.5,18.1,18.8,19.5,20.2,20.9,21.7,22.5,23.3,24.1,25,25.9,26.9,27.9,28.9,30,31.1,32.2,33.4,34.6,35.9,37.2,38.5,40,41.4,42.9,44.5,46.1,47.8,49.6,51.4,53.3,55.2,57.3,59.4,61.5,63.8,66.1,68.5,71,73.7,76.4,79.1,82,85.1,88.2,91.4,94.7,98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269,278.8,289,299.6,310.6,322,333.8,346,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm�),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm�),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,23/4/2020,20:54:08,24,101.1,37.8,6.77227E-08,1.83722E-05,,0,0,0,0,233.921,450.92,217.308,418.928,288.573,501.995,1131.424,1092.264,1761.319,2553.732,1650.684,2700.164,2007.92,1879.377,2829.437,2829.174,3010.727,2915.757,2848.312,2763.141,3601.262,3927.656,3529.367,3969.197,3542.131,3882.459,4941.744,4437.64,4230.285,5803.085,5799.24,5385.018,4830.81,7127.448,5991.49,6600.878,7537.912,6825.16,10419.265,6751.495,8925.543,8681.045,9075.357,9859.476,10310.423,11919.77,11571.281,12697.28,13015.714,14309.916,13435.69,12552.019,12299.826,11215.722,9015.245,10574.705,9536.783,9508.698,8483.184,9024.782,6651.279,7656.37,6368.468,5459.833,5315.085,4848.878,5615.199,5498.318,3700.557,5223.777,4511.258,2983.956,2975.809,2260.405,2315.794,2000.378,1940.906,1566.987,953.403,1684.153,1052.464,1232.072,653.566,767.701,256.368,258.975,350.684,112.608,247.562,0,92.991,472.801,192.368,0,199.216,202.829,0,309.773,110.591,0,110.803,0,0,117.002,0,0,123.028,0,300,4,50,1,3,0.326,0,10.21,9990.88,13.3,777.4,1,1.72,7.46,777,ON,85.78,96.797,81.453,91.398,1.818,6962.895,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
2,23/4/2020,20:59:37,24,101.1,37.9,6.77227E-08,1.83722E-05,,0,0,501.124,0,0,0,0,208.151,200.898,581.726,374.776,361.799,525.083,845.906,492.1,789.186,613.947,1045.585,721.062,562.281,951.947,1636.686,845.646,1248.098,2060.182,1541.802,1845.157,1907.719,1979.965,2585.098,2390.43,2051.048,2302.047,2541.267,1824.909,4251.286,3112.624,4994.208,4565.841,5585.877,7211.006,6867.12,6095.374,7744.887,7632.246,7722.049,10370.708,8723.661,10688.731,10082.11,12303.176,14231.274,12227.136,10712.214,11517.346,12579.039,11672.956,11327.79,10694.291,11783.838,10885.259,9745.241,8355.44,9856.949,7901.347,7466.911,6243.208,7081.114,5112.268,5249.169,5190.659,4594.055,4456.836,3917.365,3568.261,4441.851,3821.312,2079.798,2271.591,2523.01,1851.602,1401.421,1105.345,1195.431,804.519,1113.181,936.433,334.601,594.442,428.918,261.364,177.005,359.716,274.209,369.632,187.934,286.742,97.252,98.983,302.336,204.015,103.917,105.901,0,0,111.582,113.876,0,0,0,0,0,300,4,50,1,3,0.326,0,10.13,9643.84,13.3,749.9,1,1.72,7.46,777,ON,94.034,106.531,92.865,85.053,1.698,6059.6,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
3,23/4/2020,21:05:08,24,101.1,37.9,6.77227E-08,1.83722E-05,,0,0,502.67,0,233.171,0,216.612,208.793,201.518,0,751.884,362.915,175.567,169.703,658.157,791.62,923.762,890.249,1455.001,564.016,1500.532,1056.872,1290.538,876.363,729.355,1784.49,1388.128,1575.92,1434.37,1720.019,1781.686,1851.657,2491.719,2961.35,2888.082,3295.986,4208.967,4330.847,3912.553,4044.909,5072.984,7566.069,6724.83,10019.527,9151.46,9360.284,10726.668,11581.388,10691.471,12597.259,12427.177,12065.959,12699.484,13246.197,12217.787,11855.489,11928.252,12302.37,9792.916,10101.246,9667.158,9453.652,8992.03,7989.053,7684.176,8156.593,7163.361,6807.342,5405.101,6038.634,4042.312,4683.063,3890.039,3413.657,3497.272,3027.264,3008.642,3164.131,2356.232,2914.268,1315.58,1483.841,950.347,959.29,1533.295,1064.374,826.735,839.091,425.928,258.145,262.17,266.335,631.453,0,278.079,282.771,95.876,97.552,198.577,202.179,102.322,104.238,106.228,108.296,0,0,0,0,118.28,0,0,0,300,4,50,1,3,0.325,0,10.13,9643.84,13.3,749.9,1,1.72,7.46,778.3,ON,92.439,105.774,92.625,91.398,1.68,6081.621,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
4,23/4/2020,21:10:38,23.9,101.1,38,6.76938E-08,1.83674E-05,,0,0,250.549,241.157,0,60.461,157.66,0,200.888,193.899,374.757,361.781,350.037,169.173,820.125,946.975,1074.353,298.723,576.82,140.563,951.899,1580.366,1029.202,748.82,1696.521,1185.941,1499.115,1683.195,1209.903,1500.292,1880.593,2358.583,2994.793,2939.617,3073.349,3004.067,2928.188,4746.944,4887.258,5509.679,6112.713,6853.787,7527.252,7896.149,10130.611,9105.399,9017.95,11386.096,10893.994,11114.307,13494.598,12017.491,12186.633,13971.086,12087.894,11520.733,12604.775,12432.298,11380.19,8436.502,10213.96,10764.941,7602.184,8478.817,7724.317,6770.153,6723.834,7285.501,5435.184,5678.588,6258.502,4821.245,4228.241,4171.221,4262.285,3632.241,3052.173,1877.496,1818.46,2217.081,1657.801,2141.793,1764.076,1327.268,1528.498,1061.044,659.312,708.674,384.481,600.453,174.234,442.489,359.697,548.389,92.403,93.962,0,97.247,98.978,0,102.002,103.912,105.896,0,110.102,111.576,0,0,0,0,0,0,300,4,50,1,3,0.326,0,10.13,9642.27,13.3,749.9,1,1.72,7.46,776.9,ON,93.131,106.553,93.575,91.398,1.67,6110.741,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
5,23/4/2020,21:16:07,24,101.1,38,6.77227E-08,1.83722E-05,,0,0,501.124,0,232.454,0,215.946,0,200.898,0,0,723.598,700.11,169.181,328.067,631.349,767.434,448.108,432.637,702.852,1359.925,790.217,514.628,499.239,727.112,1304.602,922.573,897.75,2199.937,2357.734,2298.621,1948.516,1801.604,3709.341,3059.183,3263.809,2901.839,5357.471,5331.809,4635.363,4190.818,6725.156,6858.985,7391.112,7213.297,10463.804,8709.363,8883.688,12307.219,13295,11484.946,12079.626,13058.041,14114.52,11334.073,13515.441,11673.397,10820.965,11480.052,10983.767,9260.27,9462.945,8637.65,8499.074,9061.934,8296.813,7828.039,6639.23,6138.206,4371.716,5325.214,4985.926,3413.92,3582.315,4262.512,3039.353,3052.324,3529.903,2197.436,2599.465,1928.743,1323.564,1263.233,1275.109,804.511,571.362,1071.447,669.202,679.363,857.836,348.485,265.507,269.796,365.612,739.265,187.934,382.323,291.755,193.045,5.011,204.015,103.917,105.901,0,0,0,0,116.269,0,0,0,0,300,4,50,1,3,0.326,0,10.13,9643.84,13.3,749.9,1,1.72,7.46,777,ON,94.472,108.334,95.05,91.398,1.669,6042.59,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
6,23/4/2020,21:21:37,23.9,101.1,37.9,6.76938E-08,1.83674E-05,,0,520.593,0,241.157,0,0,215.935,72.667,331.641,193.899,187.379,180.89,175.019,507.518,820.125,946.975,767.395,448.085,144.205,421.689,1359.855,790.176,1029.202,1497.653,727.075,948.753,1037.841,1795.419,1539.887,2250.449,2089.558,2256.046,2802.375,2834.325,3457.555,3799.271,2725.922,3384.977,5357.798,5022.086,5854.39,4819.227,6470.853,6663.387,7426.875,9173.571,9812.771,10223.963,11201.978,11327.314,12153.259,13164.555,14071.804,12373.288,12576.449,13490.19,11956.857,12846.582,11709.151,11640.092,10084.496,8112.718,8363.306,7081.798,6507.179,6944.742,6736.416,6469.942,5705.447,6844.259,6854.924,5446.825,4228.234,4024.854,2792.508,3558.089,3722.138,3079.126,3636.95,1834.828,2237.22,1479.222,1578.957,1434.429,1206.711,816.196,1153.796,836.458,849.167,600.453,261.35,530.986,271.249,455.49,369.622,93.962,382.303,0,0,100.773,204.005,0,211.791,0,220.204,0,113.871,0,0,240.957,0,0,300,4,50,1,3,0.326,0,10.13,9642.02,13.3,749.9,1,1.72,7.46,776.9,ON,95.008,109.387,95.412,88.168,1.688,6086.186,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
7,23/4/2020,21:27:07,23.9,101.1,38,6.76938E-08,1.83674E-05,,540.79,260.297,0,0,0,0,215.935,208.14,0,0,187.379,361.781,350.037,845.863,492.075,315.658,613.916,298.723,576.82,562.252,543.942,921.872,1532.694,1134.008,1454.15,1486.457,1437.538,1346.556,1759.87,2388.491,1432.589,2256.036,2902.428,2260.806,2868.595,3848.926,5130.149,3852.305,5331.595,5373.711,7355.029,7555.654,6349.251,8004.398,9128.832,10348.261,8546.491,10759.917,13282.827,12530.734,13773.321,14371.893,14109.962,14782.682,12039.705,14315.779,14015.5,11374.305,12858.181,12283.542,10290.761,9921.913,11187.469,9293.789,8563.034,8109.28,8954.55,7454.451,6051.366,5748.309,5828.622,6029.669,5046.396,3951.705,3159.927,3706.352,3126.604,2864.109,2262.67,2369.982,1697.198,1557.052,1736.861,1115.661,965.362,652.95,1153.796,875.957,214.649,772.011,1045.401,176.995,89.924,639.796,369.613,0,95.576,0,98.978,0,204.005,207.824,0,107.957,0,111.576,113.871,116.263,0,0,0,0,300,4,50,1,3,0.326,0,10.13,9642.02,13.3,749.9,1,1.72,7.46,776.9,ON,94.337,107.304,94.545,91.398,1.657,6576.858,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
8,23/4/2020,21:32:37,23.9,101.1,37.9,6.76938E-08,1.83674E-05,,540.79,260.297,0,0,0,0,0,0,0,193.899,374.757,542.671,1050.111,507.518,656.1,631.317,767.395,896.17,576.82,702.816,951.899,921.872,514.601,748.82,1332.983,948.753,1614.442,1570.993,1099.912,2036.121,1776.115,2256.036,2402.001,2163.071,3540.912,3097.901,4430.977,4565.381,5484.457,4547.659,6360.201,6962.193,5539.687,7291.76,8336.874,9355.578,10093.89,9575.275,10090.862,11939.582,13488.781,11903.487,12421.882,12840.182,10821.407,11961.515,12333.984,11311.259,10062.878,10996.625,10656.349,9415.639,10514.631,7605.563,8093.349,8050.111,8115.574,6245.022,6877.774,5736.91,6112.652,5274.705,4861.227,3293.064,3380.393,4151.156,3126.596,2703.606,2339.052,2303.428,2391.51,2054.087,1785.48,1514.119,1126.256,1224.282,1071.382,418.229,594.419,686.232,522.701,353.991,539.545,0,92.403,187.924,431.44,533.484,98.978,0,102.002,207.824,105.896,0,0,0,113.871,0,0,0,0,0,300,4,50,1,3,0.326,0,10.13,9642.02,13.3,749.9,1,1.72,7.46,776.9,ON,95.056,108.968,95.172,82.047,1.69,6131.349,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
9,23/4/2020,21:38:07,23.9,101.1,37.9,6.76938E-08,1.83674E-05,,270.395,260.297,0,241.157,0,224.035,215.935,0,602.664,193.899,0,542.671,350.037,338.345,328.05,157.829,460.437,1344.255,576.82,562.252,815.913,658.48,1543.804,1123.23,1332.971,2253.3,807.21,1570.993,2199.84,2357.623,2403.001,2461.141,2301.928,3055.593,3334.766,2955.702,4202.952,3995.174,4709.555,5023.929,6074.421,5764.678,6846.586,7155.854,8498.968,9423.795,8792.273,10245.983,10593.569,11135.454,12153.286,13588.314,11317.557,12556.17,11297.276,12204.675,10797.395,11076.261,10670.486,11073.489,9574.674,10476.217,10875.207,9268.057,9012.617,7182.055,6723.851,6571.604,6362.989,5963.324,4245.51,5162.608,4901.271,4756.672,4645.359,2578.603,3722.16,2188.22,2546.169,2363.237,2224.574,1285.407,1421.062,1434.429,482.681,1061.044,494.484,1171.042,339.663,428.895,522.701,530.986,89.924,91.398,462.016,281.887,0,97.247,98.978,100.773,102.002,0,0,215.915,110.102,0,0,0,0,0,0,0,300,4,50,1,3,0.326,0,10.13,9642.02,13.3,749.9,1,1.72,7.46,776.9,ON,94.485,107.165,93.92,85.053,1.683,6081.411,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
10,23/4/2020,21:43:37,23.8,101.1,37.9,6.76648E-08,1.83627E-05,,540.763,0,0,0,232.43,0,215.924,0,200.878,193.889,749.476,1447.049,700.038,507.492,164.017,315.642,767.356,746.77,720.988,983.891,815.871,1316.893,1415.094,2018.609,948.16,1541.644,2190.896,1234.279,1979.739,2143.175,1671.562,2973.712,3212.611,3117.531,3185.59,3175.618,4615.408,3583.942,4558.044,4886.052,6752.153,6355.656,7815.073,8993.399,8926.39,10770.431,9849.887,10408.793,11201.351,13426.703,11221.805,13454.992,13549.943,12694.097,13383.892,12610.588,12686.028,12306.157,10628.299,11367.253,10007.099,11316.616,11097.034,8219.707,8068.41,8532.696,7891.165,6909.771,6508.713,6547.386,6413.102,6033.544,4643.349,5400.547,3982.597,2742.548,2530.909,3829.921,2045.665,2293.41,1388.551,2024.083,1928.9,1001.358,1528.425,734.53,824.097,1003.697,849.113,428.872,348.449,176.986,269.758,456.967,277.195,187.915,191.141,97.242,197.946,0,101.997,103.906,0,0,0,0,0,0,0,120.472,0,0,300,4,50,1,3,0.326,0,10.13,9640.2,13.3,749.9,1,1.72,7.46,776.8,ON,94.059,106.687,93.316,88.168,1.692,6511.402,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
11,23/4/2020,21:49:07,23.8,101.1,37.8,6.76648E-08,1.83627E-05,,540.763,0,0,0,232.43,0,0,416.259,0,193.889,749.476,361.762,525.029,845.82,164.017,946.926,306.942,597.416,720.988,562.224,1223.807,1053.527,771.862,1123.173,2302.298,1741.352,1766.09,1795.332,2309.696,1285.898,1671.552,2358.472,1811.501,2824.343,2705.42,4020.456,2861.528,2633.036,5331.288,4809.791,6112.365,5090.332,6508.136,7001.7,5743.306,10068.123,8933.639,9856.855,11512.808,11863.139,11062.7,10396.467,13317.573,11444.878,12217.889,12732.065,12854.892,11691.205,9947.872,10821.016,11420.737,11378.166,9602.923,8646.439,7779.781,7455.908,6483.599,6281.591,4710.224,4671.027,5311.449,4894.589,3936.439,4975.96,3479.088,4051.14,3615.655,2454.23,2253.79,2198.474,1947.172,2491.173,1184.155,1354.667,1528.417,571.309,1079.579,911.696,339.645,257.323,522.673,796.438,179.839,91.393,277.195,375.829,286.722,0,0,0,0,103.906,211.78,107.952,0,111.57,0,116.256,235.808,0,0,125.009,300,4,50,1,3,0.326,0,10.13,9640.2,13.3,749.9,1,1.72,7.46,776.8,ON,95.667,108.75,94.651,88.168,1.701,5992.969,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
12,23/4/2020,21:54:37,23.8,101.1,37.8,6.76648E-08,1.83627E-05,,270.381,260.283,0,241.144,0,0,0,208.13,401.755,581.666,374.738,361.762,525.029,507.492,820.083,473.463,1381.24,1344.186,432.593,1124.447,1903.713,2502.109,1929.656,1996.776,3271.706,2371.772,3003.628,3024.192,3953.387,4828.119,4143.334,4546.821,3422.846,5190.65,4884.184,5146.959,4984.609,5447.733,5399.795,7478.434,6432.172,7641.795,8921.218,8224.742,9400.731,8705.554,11114.387,9708.204,11565.603,11186.063,11373.268,11034.087,12549.144,12425.758,11369.738,11194.411,11309.142,11546.872,11240.517,11535.914,10000.716,8686.866,8442.137,8555.709,7234.525,6882.912,7656.014,7245.899,7129.42,6241.716,4317.256,5202.152,4425.663,4024.676,4555.979,4299.15,3796.389,3003.848,2272.979,2752.096,1774.248,2217.007,1856.909,956.23,804.434,571.301,741.687,752.773,679.308,1029.307,696.897,530.958,539.516,91.393,184.797,281.872,95.571,0,494.864,100.768,509.985,0,105.89,215.903,0,0,0,0,0,0,0,0,300,4,50,1,3,0.326,0,10.13,9640.2,13.3,749.9,1,1.72,7.46,776.8,ON,89.276,102.974,87.858,88.168,1.764,6705.873,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
13,23/4/2020,22:00:07,23.8,101.1,37.7,6.76648E-08,1.83627E-05,,270.381,260.283,0,0,0,0,431.848,208.13,602.633,193.889,936.864,1621.571,1406.229,2368.295,1360.485,1531.685,1995.125,2688.372,2018.766,1827.241,3535.442,2897.177,2958.818,2995.152,3392.855,2964.712,3920.6,1683.108,2969.62,3429.073,2994.105,3111.241,2902.269,3713.755,4129.654,4693.607,4061.538,4630.547,5509.04,7258.441,6297.369,6773.237,7426.552,8964.998,9892.878,9578.191,8939.609,11259.309,11534.836,12113.771,12647.341,12374.507,10944.094,14985.288,11910.981,13563.439,14570.054,11998.652,13780.452,10830.364,10394.329,11158.456,10790.069,10922.785,8279.637,8719.451,7404.059,7056.384,7090.335,7756.131,6822.501,5987.67,4747.667,4221.534,4360.943,4495.906,3955.978,3143.247,2423.054,2505.739,2564.314,1790.522,2052.543,1354.675,965.311,979.373,1071.325,836.414,1103.856,1200.843,696.897,884.931,539.516,0,184.797,93.957,95.571,194.483,0,100.768,101.997,0,105.89,0,0,0,0,0,0,0,0,0,300,4,50,1,3,0.326,0,10.13,9640.2,13.3,749.9,1,1.72,7.46,776.8,ON,91.822,103.273,87.647,91.398,1.806,7234.568,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
14,23/4/2020,22:05:37,23.8,101.1,37.6,6.76648E-08,1.83627E-05,,0,0,0,0,0,93.077,993.237,208.772,805.989,583.46,1315.629,362.878,1228.846,1357.486,1151.657,1266.463,1385.516,1048.703,1446.424,1832.863,2591.576,1717.241,1953.017,1109.749,1337.026,2260.122,925.323,1913.407,1875.554,2472.241,2487.339,2598.674,2610.1,3370.89,3334.501,3107.296,3873.42,4982.5,5121.291,5614.138,6304.019,6651.614,8188.461,8497.623,8454.196,11465.95,12051.035,10403.602,11373.073,13106.096,11108.929,13059.157,14686.072,13334.154,13781.613,12833.535,11534.159,11601.415,11664.991,11864.452,11439.463,10167.765,10018.805,8381.192,8489.386,8558.98,8628.641,7434.884,6383.057,6828.727,5918.508,5573.638,4883.013,4624.265,4496.29,4830.257,3706.189,4248.531,2659.982,2607.232,1934.479,1952.222,1662.958,1358.854,2097.959,1621.357,594.786,587.296,851.741,516.234,961.189,266.298,450.984,183.351,556.1,0,95.866,97.541,0,0,204.623,312.681,0,108.285,0,0,0,116.615,0,0,0,0,300,4,50,1,3,0.325,0,10.13,9640.2,13.3,749.9,1,1.72,7.46,778.1,ON,93.155,106.655,91.75,88.168,1.754,6854.856,Lockdown Measurements,MASIN,,,Optics Room,,Normal Scan,
